root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:38:17.137703 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 28616:28772, ack 37, win 313, length 156
20:38:17.137812 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 28772:28928, ack 37, win 313, length 156
20:38:17.137932 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 28928:29084, ack 37, win 313, length 156
20:38:17.138062 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 29084:29240, ack 37, win 313, length 156
20:38:17.138180 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 29240:29396, ack 37, win 313, length 156
20:38:17.138334 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 29396:29552, ack 37, win 313, length 156
20:38:17.138468 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 29552:29708, ack 37, win 313, length 156
20:38:17.138598 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 29708:29864, ack 37, win 313, length 156
20:38:17.138723 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 29864:30020, ack 37, win 313, length 156
20:38:17.138924 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 30020:30176, ack 37, win 313, length 156
20:38:17.139048 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 30176:30332, ack 37, win 313, length 156
20:38:17.139175 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 30332:30488, ack 37, win 313, length 156
20:38:17.139292 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 30488:30644, ack 37, win 313, length 156
20:38:17.139411 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 30644:30800, ack 37, win 313, length 156
20:38:17.139542 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 30800:30956, ack 37, win 313, length 156
20:38:17.139672 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 30956:31112, ack 37, win 313, length 156
20:38:17.139801 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 31112:31268, ack 37, win 313, length 156
20:38:17.139931 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 31268:31424, ack 37, win 313, length 156
20:38:17.140067 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 31424:31580, ack 37, win 313, length 156
20:38:17.140201 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 31580:31736, ack 37, win 313, length 156
20:38:17.140333 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 31736:31892, ack 37, win 313, length 156
20:38:17.140453 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 31892:32048, ack 37, win 313, length 156
20:38:17.140583 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 32048:32204, ack 37, win 313, length 156
20:38:17.140702 IP 157.245.94.33.22 > 198.96.85.163.26087: Flags [P.], seq 32204:32360, ack 37, win 313, length 156
